posts,annotations
sakit sa dibdib masakit ang lalamunan ubo,"PN, AURI, COVID"
mataas na lagnat masakit ang lalamunan hirap sa paghinga,"PN, AURI, COVID"
mataas na lagnat sipon pulmonya,"PN, AURI, COVID"
hirap sa paghinga sipon ubo,"PN, AURI, COVID"
hirap sa paghinga sipon hirap sa paghinga,"PN, AURI, COVID"
sakit sa dibdib sipon hirap sa paghinga,"PN, AURI, COVID"
hirap sa paghinga ubo ubo,"PN, AURI, COVID"
hirap sa paghinga masakit ang lalamunan ubo,"PN, AURI, COVID"
mataas na lagnat ubo hirap sa paghinga,"PN, AURI, COVID"
sakit sa dibdib sipon ubo,"PN, AURI, COVID"
hirap sa paghinga ubo pulmonya,"PN, AURI, COVID"
mataas na lagnat ubo ubo,"PN, AURI, COVID"
sakit sa dibdib masakit ang lalamunan hirap sa paghinga,"PN, AURI, COVID"
hirap sa paghinga masakit ang lalamunan pulmonya,"PN, AURI, COVID"
sakit sa dibdib sipon pulmonya,"PN, AURI, COVID"
sakit sa dibdib masakit ang lalamunan ubo,"PN, AURI, COVID"
mataas na lagnat masakit ang lalamunan ubo,"PN, AURI, COVID"
hirap sa paghinga ubo hirap sa paghinga,"PN, AURI, COVID"
sipon sakit sa dibdib ubo na may dugo pulmonya,"AURI, PN, TB, COVID"
sakit sa dibdib masakit ang lalamunan pulmonya,"PN, AURI, COVID"
sakit sa dibdib ubo hirap sa paghinga,"PN, AURI, COVID"
mataas na lagnat sipon pulmonya,"PN, AURI, COVID"
hirap sa paghinga sipon ubo,"PN, AURI, COVID"
mataas na lagnat masakit ang lalamunan pulmonya,"PN, AURI, COVID"
mataas na lagnat ubo pulmonya,"PN, AURI, COVID"
hirap sa paghinga ubo ubo,"PN, AURI, COVID"
sakit sa dibdib sipon ubo,"PN, AURI, COVID"
hirap sa paghinga ubo pulmonya,"PN, AURI, COVID"
mataas na lagnat ubo ubo,"PN, AURI, COVID"
sakit sa dibdib masakit ang lalamunan hirap sa paghinga,"PN, AURI, COVID"
sakit sa dibdib ubo ubo,"PN, AURI, COVID"
hirap sa paghinga masakit ang lalamunan pulmonya,"PN, AURI, COVID"
sakit sa dibdib sipon pulmonya,"PN, AURI, COVID"
sakit sa dibdib sakit sa dibdib masakit ang lalamunan,"PN, TB, AURI"
mataas na lagnat sipon ubo,"PN, AURI, COVID"
mataas na lagnat masakit ang lalamunan hirap sa paghinga,"PN, AURI, COVID"
sakit sa dibdib masakit ang lalamunan pulmonya,"PN, AURI, COVID"
hirap sa paghinga sipon pulmonya,"PN, AURI, COVID"
sakit sa dibdib ubo hirap sa paghinga,"PN, AURI, COVID"
hirap sa paghinga sipon pulmonya pagtatae,"PN, AURI, COVID, TB"
mataas na lagnat ubo hirap sa paghinga sakit sa dibdib,"PN, AURI, COVID, TB"
hirap sa paghinga ubo hirap sa paghinga sakit sa dibdib,"PN, AURI, COVID, TB"
sakit sa dibdib sipon ubo ubo na may dugo,"PN, AURI, COVID, TB"
mataas na lagnat ubo ubo pagtatae,"PN, AURI, COVID, TB"
sakit sa dibdib sipon pulmonya ubo na may dugo,"PN, AURI, COVID, TB"
hirap sa paghinga sipon hirap sa paghinga pagtatae,"PN, AURI, COVID, TB"
mataas na lagnat ubo hirap sa paghinga sakit sa dibdib,"PN, AURI, COVID, TB"
mataas na lagnat masakit ang lalamunan pulmonya ubo na may dugo,"PN, AURI, COVID, TB"
mataas na lagnat sipon pulmonya pagtatae,"PN, AURI, COVID, TB"
hirap sa paghinga masakit ang lalamunan ubo sakit sa dibdib,"PN, AURI, COVID, TB"
hirap sa paghinga sipon hirap sa paghinga pagtatae,"PN, AURI, COVID, TB"
hirap sa paghinga ubo hirap sa paghinga sakit sa dibdib,"PN, AURI, COVID, TB"
hirap sa paghinga ubo ubo pagtatae,"PN, AURI, COVID, TB"
mataas na lagnat masakit ang lalamunan hirap sa paghinga sakit sa dibdib,"PN, AURI, COVID, TB"
sakit sa dibdib sipon ubo ubo na may dugo,"PN, AURI, COVID, TB"
sakit sa dibdib sipon hirap sa paghinga pagtatae,"PN, AURI, COVID, TB"
hirap sa paghinga masakit ang lalamunan hirap sa paghinga pagtatae,"PN, AURI, COVID, TB"
mataas na lagnat masakit ang lalamunan ubo sakit sa dibdib,"PN, AURI, COVID, TB"
hirap sa paghinga masakit ang lalamunan ubo pagtatae,"PN, AURI, COVID, TB"
mataas na lagnat sipon pulmonya sakit sa dibdib,"PN, AURI, COVID, TB"
hirap sa paghinga ubo ubo ubo na may dugo,"PN, AURI, COVID, TB"
mataas na lagnat masakit ang lalamunan hirap sa paghinga ubo na may dugo,"PN, AURI, COVID, TB"
mataas na lagnat ubo ubo pagtatae,"PN, AURI, COVID, TB"
mataas na lagnat ubo ubo ubo na may dugo,"PN, AURI, COVID, TB"
mataas na lagnat masakit ang lalamunan pulmonya ubo na may dugo,"PN, AURI, COVID, TB"
sakit sa dibdib masakit ang lalamunan ubo sakit sa dibdib,"PN, AURI, COVID, TB"
mataas na lagnat ubo hirap sa paghinga sakit sa dibdib,"PN, AURI, COVID, TB"
sakit sa dibdib ubo pulmonya ubo na may dugo,"PN, AURI, COVID, TB"
hirap sa paghinga sipon pulmonya ubo na may dugo,"PN, AURI, COVID, TB"
sakit sa dibdib masakit ang lalamunan ubo ubo na may dugo,"PN, AURI, COVID, TB"
sakit sa dibdib masakit ang lalamunan pulmonya ubo na may dugo,"PN, AURI, COVID, TB"
hirap sa paghinga masakit ang lalamunan ubo ubo na may dugo,"PN, AURI, COVID, TB"
hirap sa paghinga sipon hirap sa paghinga ubo na may dugo,"PN, AURI, COVID, TB"
hirap sa paghinga masakit ang lalamunan hirap sa paghinga ubo na may dugo,"PN, AURI, COVID, TB"
sakit sa dibdib sipon pulmonya pagtatae,"PN, AURI, COVID, TB"
sakit sa dibdib ubo pulmonya sakit sa dibdib,"PN, AURI, COVID, TB"
hirap sa paghinga masakit ang lalamunan ubo sakit sa dibdib,"PN, AURI, COVID, TB"
mataas na lagnat ubo pulmonya sakit sa dibdib,"PN, AURI, COVID, TB"
mataas na lagnat masakit ang lalamunan pulmonya pagtatae,"PN, AURI, COVID, TB"
hirap sa paghinga ubo ubo sakit sa dibdib,"PN, AURI, COVID, TB"
sakit sa dibdib sipon pulmonya sakit sa dibdib,"PN, AURI, COVID, TB"
mataas na lagnat masakit ang lalamunan ubo sakit sa dibdib,"PN, AURI, COVID, TB"
sakit sa dibdib ubo ubo ubo na may dugo,"PN, AURI, COVID, TB"
mataas na lagnat masakit ang lalamunan hirap sa paghinga ubo na may dugo,"PN, AURI, COVID, TB"
sakit sa dibdib masakit ang lalamunan pulmonya sakit sa dibdib,"PN, AURI, COVID, TB"
sakit sa dibdib ubo hirap sa paghinga sakit sa dibdib,"PN, AURI, COVID, TB"
mataas na lagnat masakit ang lalamunan pulmonya ubo na may dugo,"PN, AURI, COVID, TB"
mataas na lagnat sipon pulmonya ubo na may dugo,"PN, AURI, COVID, TB"
mataas na lagnat masakit ang lalamunan ubo pagtatae,"PN, AURI, COVID, TB"
sakit sa dibdib ubo ubo pagtatae,"PN, AURI, COVID, TB"
sakit sa dibdib sipon ubo pagtatae,"PN, AURI, COVID, TB"
hirap sa paghinga masakit ang lalamunan hirap sa paghinga sakit sa dibdib,"PN, AURI, COVID, TB"
hirap sa paghinga sipon ubo pagtatae,"PN, AURI, COVID, TB"
hirap sa paghinga sipon hirap sa paghinga ubo na may dugo,"PN, AURI, COVID, TB"
mataas na lagnat ubo ubo sakit sa dibdib,"PN, AURI, COVID, TB"
sakit sa dibdib sipon pulmonya pagtatae,"PN, AURI, COVID, TB"
hirap sa paghinga sipon pulmonya sakit sa dibdib,"PN, AURI, COVID, TB"
mataas na lagnat masakit ang lalamunan hirap sa paghinga pagtatae,"PN, AURI, COVID, TB"
hirap sa paghinga masakit ang lalamunan pulmonya ubo na may dugo,"PN, AURI, COVID, TB"
hirap sa paghinga masakit ang lalamunan ubo sakit sa dibdib,"PN, AURI, COVID, TB"
sakit sa dibdib sipon hirap sa paghinga sakit sa dibdib,"PN, AURI, COVID, TB"
mataas na lagnat sipon hirap sa paghinga ubo na may dugo,"PN, AURI, COVID, TB"
hirap sa paghinga masakit ang lalamunan pulmonya pagtatae,"PN, AURI, COVID, TB"
hirap sa paghinga masakit ang lalamunan hirap sa paghinga pagtatae,"PN, AURI, COVID, TB"
mataas na lagnat ubo pulmonya ubo na may dugo,"PN, AURI, COVID, TB"
mataas na lagnat sipon ubo pagtatae,"PN, AURI, COVID, TB"
hirap sa paghinga sipon ubo sakit sa dibdib,"PN, AURI, COVID, TB"
hirap sa paghinga sipon pulmonya pagtatae,"PN, AURI, COVID, TB"
hirap sa paghinga masakit ang lalamunan ubo pagtatae,"PN, AURI, COVID, TB"
sakit sa dibdib masakit ang lalamunan ubo pagtatae,"PN, AURI, COVID, TB"
mataas na lagnat ubo ubo pagtatae,"PN, AURI, COVID, TB"
mataas na lagnat ubo hirap sa paghinga ubo na may dugo,"PN, AURI, COVID, TB"
sakit sa dibdib masakit ang lalamunan ubo sakit sa dibdib,"PN, AURI, COVID, TB"
mataas na lagnat ubo pulmonya pagtatae,"PN, AURI, COVID, TB"
sakit sa dibdib masakit ang lalamunan hirap sa paghinga ubo na may dugo,"PN, AURI, COVID, TB"
sakit sa dibdib ubo ubo pagtatae,"PN, AURI, COVID, TB"
hirap sa paghinga ubo pulmonya pagtatae,"PN, AURI, COVID, TB"
hirap sa paghinga ubo hirap sa paghinga ubo na may dugo,"PN, AURI, COVID, TB"
hirap sa paghinga sipon pulmonya sakit sa dibdib,"PN, AURI, COVID, TB"
hirap sa paghinga masakit ang lalamunan ubo sakit sa dibdib,"PN, AURI, COVID, TB"
sakit sa dibdib sipon hirap sa paghinga sakit sa dibdib,"PN, AURI, COVID, TB"
hirap sa paghinga ubo hirap sa paghinga sakit sa dibdib,"PN, AURI, COVID, TB"
mataas na lagnat masakit ang lalamunan hirap sa paghinga sakit sa dibdib,"PN, AURI, COVID, TB"
sakit sa dibdib masakit ang lalamunan hirap sa paghinga sakit sa dibdib,"PN, AURI, COVID, TB"
mataas na lagnat sipon ubo pagtatae,"PN, AURI, COVID, TB"
mataas na lagnat masakit ang lalamunan ubo sakit sa dibdib,"PN, AURI, COVID, TB"
sakit sa dibdib masakit ang lalamunan ubo pagtatae,"PN, AURI, COVID, TB"
sakit sa dibdib masakit ang lalamunan pulmonya sakit sa dibdib,"PN, AURI, COVID, TB"
mataas na lagnat ubo hirap sa paghinga ubo na may dugo,"PN, AURI, COVID, TB"
mataas na lagnat ubo hirap sa paghinga sakit sa dibdib,"PN, AURI, COVID, TB"
hirap sa paghinga sipon pulmonya ubo na may dugo,"PN, AURI, COVID, TB"
sakit sa dibdib masakit ang lalamunan pulmonya ubo na may dugo,"PN, AURI, COVID, TB"
mataas na lagnat masakit ang lalamunan ubo pagtatae,"PN, AURI, COVID, TB"
mataas na lagnat masakit ang lalamunan pulmonya sakit sa dibdib,"PN, AURI, COVID, TB"
hirap sa paghinga ubo sakit sa dibdib,"PN, AURI, TB"
sakit sa dibdib sipon sakit sa dibdib,"PN, AURI, TB"
sakit sa dibdib sipon sakit sa dibdib,"PN, AURI, TB"
hirap sa paghinga masakit ang lalamunan sakit sa dibdib,"PN, AURI, TB"
hirap sa paghinga masakit ang lalamunan sakit sa dibdib,"PN, AURI, TB"
hirap sa paghinga ubo sakit sa dibdib,"PN, AURI, TB"
sakit sa dibdib ubo sakit sa dibdib,"PN, AURI, TB"
hirap sa paghinga ubo pagtatae,"PN, AURI, TB"
sakit sa dibdib ubo pagtatae,"PN, AURI, TB"
mataas na lagnat sipon pagtatae,"PN, AURI, TB"
mataas na lagnat masakit ang lalamunan ubo na may dugo,"PN, AURI, TB"
mataas na lagnat sipon sakit sa dibdib,"PN, AURI, TB"
hirap sa paghinga sipon sakit sa dibdib,"PN, AURI, TB"
hirap sa paghinga sipon ubo na may dugo,"PN, AURI, TB"
hirap sa paghinga ubo sakit sa dibdib,"PN, AURI, TB"
mataas na lagnat masakit ang lalamunan sakit sa dibdib,"PN, AURI, TB"
sakit sa dibdib masakit ang lalamunan sakit sa dibdib,"PN, AURI, TB"
hirap sa paghinga masakit ang lalamunan sakit sa dibdib,"PN, AURI, TB"
mataas na lagnat masakit ang lalamunan pagtatae,"PN, AURI, TB"
hirap sa paghinga sipon pagtatae,"PN, AURI, TB"
sakit sa dibdib ubo ubo na may dugo,"PN, AURI, TB"
hirap sa paghinga masakit ang lalamunan ubo na may dugo,"PN, AURI, TB"
mataas na lagnat ubo ubo na may dugo,"PN, AURI, TB"
mataas na lagnat sipon ubo na may dugo,"PN, AURI, TB"
sakit sa dibdib ubo sakit sa dibdib,"PN, AURI, TB"
hirap sa paghinga ubo pagtatae,"PN, AURI, TB"
sakit sa dibdib ubo pagtatae,"PN, AURI, TB"
mataas na lagnat sipon pagtatae,"PN, AURI, TB"
sakit sa dibdib masakit ang lalamunan pagtatae,"PN, AURI, TB"
mataas na lagnat masakit ang lalamunan ubo na may dugo,"PN, AURI, TB"
hirap sa paghinga masakit ang lalamunan pagtatae,"PN, AURI, TB"
hirap sa paghinga sipon ubo na may dugo,"PN, AURI, TB"
sakit sa dibdib sipon pagtatae,"PN, AURI, TB"
mataas na lagnat masakit ang lalamunan sakit sa dibdib,"PN, AURI, TB"
sakit sa dibdib masakit ang lalamunan sakit sa dibdib,"PN, AURI, TB"
hirap sa paghinga masakit ang lalamunan sakit sa dibdib,"PN, AURI, TB"
mataas na lagnat ubo pagtatae,"PN, AURI, TB"
mataas na lagnat masakit ang lalamunan pagtatae,"PN, AURI, TB"
sakit sa dibdib ubo ubo na may dugo,"PN, AURI, TB"
mataas na lagnat ubo ubo na may dugo,"PN, AURI, TB"
mataas na lagnat ubo sakit sa dibdib,"PN, AURI, TB"
sakit sa dibdib sipon sakit sa dibdib,"PN, AURI, TB"
sakit sa dibdib ubo pagtatae,"PN, AURI, TB"
mataas na lagnat sipon pagtatae,"PN, AURI, TB"
sakit sa dibdib masakit ang lalamunan pagtatae,"PN, AURI, TB"
mataas na lagnat masakit ang lalamunan ubo na may dugo,"PN, AURI, TB"
hirap sa paghinga masakit ang lalamunan pagtatae,"PN, AURI, TB"
mataas na lagnat sipon sakit sa dibdib,"PN, AURI, TB"
hirap sa paghinga sipon sakit sa dibdib,"PN, AURI, TB"
hirap sa paghinga sipon ubo na may dugo,"PN, AURI, TB"
sakit sa dibdib sipon ubo na may dugo,"PN, AURI, TB"
sakit sa dibdib sipon pagtatae,"PN, AURI, TB"
sakit sa dibdib ubo ubo na may dugo,"PN, AURI, TB"
hirap sa paghinga masakit ang lalamunan ubo na may dugo,"PN, AURI, TB"
mataas na lagnat ubo ubo na may dugo,"PN, AURI, TB"
mataas na lagnat sipon ubo na may dugo,"PN, AURI, TB"
hirap sa paghinga ubo ubo na may dugo,"PN, AURI, TB"
sakit sa dibdib sipon sakit sa dibdib,"PN, AURI, TB"
hirap sa paghinga ubo pagtatae,"PN, AURI, TB"
hirap sa paghinga sipon sakit sa dibdib,"PN, AURI, TB"
hirap sa paghinga sipon ubo na may dugo,"PN, AURI, TB"
sakit sa dibdib sipon ubo na may dugo,"PN, AURI, TB"
hirap sa paghinga ubo sakit sa dibdib,"PN, AURI, TB"
sakit sa dibdib masakit ang lalamunan sakit sa dibdib,"PN, AURI, TB"
hirap sa paghinga masakit ang lalamunan sakit sa dibdib,"PN, AURI, TB"
hirap sa paghinga masakit ang lalamunan ubo na may dugo,"PN, AURI, TB"
sakit sa dibdib masakit ang lalamunan ubo na may dugo,"PN, AURI, TB"
mataas na lagnat ubo ubo na may dugo,"PN, AURI, TB"
hirap sa paghinga ubo ubo na may dugo,"PN, AURI, TB"
sakit sa dibdib sipon sakit sa dibdib,"PN, AURI, TB"
sakit sa dibdib ubo sakit sa dibdib,"PN, AURI, TB"
mataas na lagnat sipon sakit sa dibdib pulmonya,"PN, AURI, TB, COVID"
hirap sa paghinga masakit ang lalamunan sakit sa dibdib hirap sa paghinga,"PN, AURI, TB, COVID"
sakit sa dibdib sipon ubo na may dugo pulmonya,"PN, AURI, TB, COVID"
mataas na lagnat sipon pagtatae hirap sa paghinga,"PN, AURI, TB, COVID"
mataas na lagnat sipon pagtatae hirap sa paghinga,"PN, AURI, TB, COVID"
hirap sa paghinga sipon pagtatae ubo,"PN, AURI, TB, COVID"
sakit sa dibdib ubo pagtatae pulmonya,"PN, AURI, TB, COVID"
sakit sa dibdib masakit ang lalamunan ubo na may dugo ubo,"PN, AURI, TB, COVID"
mataas na lagnat masakit ang lalamunan sakit sa dibdib ubo,"PN, AURI, TB, COVID"
sakit sa dibdib ubo pagtatae ubo,"PN, AURI, TB, COVID"
hirap sa paghinga ubo ubo na may dugo ubo,"PN, AURI, TB, COVID"
mataas na lagnat sipon ubo na may dugo ubo,"PN, AURI, TB, COVID"
sakit sa dibdib sipon ubo na may dugo hirap sa paghinga,"PN, AURI, TB, COVID"
mataas na lagnat ubo sakit sa dibdib hirap sa paghinga,"PN, AURI, TB, COVID"
sakit sa dibdib sipon ubo na may dugo ubo,"PN, AURI, TB, COVID"
hirap sa paghinga masakit ang lalamunan pagtatae hirap sa paghinga,"PN, AURI, TB, COVID"
hirap sa paghinga ubo sakit sa dibdib ubo,"PN, AURI, TB, COVID"
mataas na lagnat masakit ang lalamunan ubo na may dugo hirap sa paghinga,"PN, AURI, TB, COVID"
sakit sa dibdib ubo ubo na may dugo hirap sa paghinga,"PN, AURI, TB, COVID"
hirap sa paghinga ubo pagtatae ubo,"PN, AURI, TB, COVID"
mataas na lagnat sipon sakit sa dibdib ubo,"PN, AURI, TB, COVID"
mataas na lagnat masakit ang lalamunan pagtatae hirap sa paghinga,"PN, AURI, TB, COVID"
mataas na lagnat ubo ubo na may dugo pulmonya,"PN, AURI, TB, COVID"
mataas na lagnat sipon ubo na may dugo pulmonya,"PN, AURI, TB, COVID"
sakit sa dibdib masakit ang lalamunan sakit sa dibdib hirap sa paghinga,"PN, AURI, TB, COVID"
sakit sa dibdib masakit ang lalamunan pagtatae ubo,"PN, AURI, TB, COVID"
sakit sa dibdib ubo sakit sa dibdib pulmonya,"PN, AURI, TB, COVID"
mataas na lagnat masakit ang lalamunan ubo na may dugo ubo,"PN, AURI, TB, COVID"
hirap sa paghinga ubo ubo na may dugo pulmonya,"PN, AURI, TB, COVID"
sakit sa dibdib masakit ang lalamunan sakit sa dibdib pulmonya,"PN, AURI, TB, COVID"
mataas na lagnat masakit ang lalamunan pagtatae ubo,"PN, AURI, TB, COVID"
mataas na lagnat sipon ubo na may dugo hirap sa paghinga,"PN, AURI, TB, COVID"
hirap sa paghinga masakit ang lalamunan pagtatae ubo,"PN, AURI, TB, COVID"
hirap sa paghinga masakit ang lalamunan ubo na may dugo pulmonya,"PN, AURI, TB, COVID"
sakit sa dibdib ubo pagtatae ubo,"PN, AURI, TB, COVID"
hirap sa paghinga ubo ubo na may dugo ubo,"PN, AURI, TB, COVID"
mataas na lagnat masakit ang lalamunan sakit sa dibdib ubo,"PN, AURI, TB, COVID"
sakit sa dibdib masakit ang lalamunan ubo na may dugo pulmonya,"PN, AURI, TB, COVID"
sakit sa dibdib sipon ubo na may dugo pulmonya,"PN, AURI, TB, COVID"
mataas na lagnat masakit ang lalamunan ubo na may dugo pulmonya,"PN, AURI, TB, COVID"
hirap sa paghinga masakit ang lalamunan pagtatae hirap sa paghinga,"PN, AURI, TB, COVID"
mataas na lagnat masakit ang lalamunan ubo na may dugo hirap sa paghinga,"PN, AURI, TB, COVID"
mataas na lagnat ubo pagtatae ubo,"PN, AURI, TB, COVID"
mataas na lagnat masakit ang lalamunan pagtatae hirap sa paghinga,"PN, AURI, TB, COVID"
hirap sa paghinga masakit ang lalamunan pagtatae pulmonya,"PN, AURI, TB, COVID"
hirap sa paghinga sipon ubo na may dugo ubo,"PN, AURI, TB, COVID"
sakit sa dibdib masakit ang lalamunan pagtatae ubo,"PN, AURI, TB, COVID"
sakit sa dibdib masakit ang lalamunan ubo na may dugo hirap sa paghinga,"PN, AURI, TB, COVID"
hirap sa paghinga masakit ang lalamunan pagtatae ubo,"PN, AURI, TB, COVID"
sakit sa dibdib masakit ang lalamunan sakit sa dibdib ubo,"PN, AURI, TB, COVID"
hirap sa paghinga ubo ubo na may dugo ubo,"PN, AURI, TB, COVID"
mataas na lagnat ubo pagtatae pulmonya,"PN, AURI, TB, COVID"
hirap sa paghinga sipon sakit sa dibdib ubo,"PN, AURI, TB, COVID"
mataas na lagnat ubo pagtatae ubo,"PN, AURI, TB, COVID"
mataas na lagnat sipon sakit sa dibdib hirap sa paghinga,"PN, AURI, TB, COVID"
mataas na lagnat sipon sakit sa dibdib ubo,"PN, AURI, TB, COVID"
mataas na lagnat masakit ang lalamunan pagtatae hirap sa paghinga,"PN, AURI, TB, COVID"
mataas na lagnat sipon ubo na may dugo pulmonya,"PN, AURI, TB, COVID"
mataas na lagnat ubo sakit sa dibdib ubo,"PN, AURI, TB, COVID"
sakit sa dibdib sipon pagtatae pulmonya,"PN, AURI, TB, COVID"
hirap sa paghinga masakit ang lalamunan sakit sa dibdib pulmonya,"PN, AURI, TB, COVID"
mataas na lagnat sipon sakit sa dibdib pulmonya,"PN, AURI, TB, COVID"
hirap sa paghinga ubo sakit sa dibdib hirap sa paghinga,"PN, AURI, TB, COVID"
sakit sa dibdib masakit ang lalamunan pagtatae ubo,"PN, AURI, TB, COVID"
hirap sa paghinga ubo ubo na may dugo pulmonya,"PN, AURI, TB, COVID"
hirap sa paghinga masakit ang lalamunan ubo na may dugo ubo,"PN, AURI, TB, COVID"
sakit sa dibdib ubo pagtatae pulmonya,"PN, AURI, TB, COVID"
sakit sa dibdib masakit ang lalamunan sakit sa dibdib pulmonya,"PN, AURI, TB, COVID"
mataas na lagnat ubo ubo na may dugo ubo,"PN, AURI, TB, COVID"
hirap sa paghinga masakit ang lalamunan sakit sa dibdib hirap sa paghinga,"PN, AURI, TB, COVID"
mataas na lagnat masakit ang lalamunan pagtatae ubo,"PN, AURI, TB, COVID"
mataas na lagnat sipon ubo na may dugo hirap sa paghinga,"PN, AURI, TB, COVID"
mataas na lagnat sipon pagtatae pulmonya,"PN, AURI, TB, COVID"
hirap sa paghinga sipon pagtatae hirap sa paghinga,"PN, AURI, TB, COVID"
sakit sa dibdib sipon sakit sa dibdib pulmonya,"PN, AURI, TB, COVID"
hirap sa paghinga masakit ang lalamunan pagtatae ubo,"PN, AURI, TB, COVID"
hirap sa paghinga ubo ubo na may dugo hirap sa paghinga,"PN, AURI, TB, COVID"
mataas na lagnat ubo pagtatae pulmonya,"PN, AURI, TB, COVID"
hirap sa paghinga sipon pagtatae pulmonya,"PN, AURI, TB, COVID"
mataas na lagnat sipon pagtatae ubo,"PN, AURI, TB, COVID"
hirap sa paghinga sipon sakit sa dibdib pulmonya,"PN, AURI, TB, COVID"
mataas na lagnat masakit ang lalamunan sakit sa dibdib pulmonya,"PN, AURI, TB, COVID"
mataas na lagnat masakit ang lalamunan ubo na may dugo hirap sa paghinga,"PN, AURI, TB, COVID"
hirap sa paghinga sipon ubo na may dugo pulmonya,"PN, AURI, TB, COVID"
sakit sa dibdib ubo ubo na may dugo hirap sa paghinga,"PN, AURI, TB, COVID"
mataas na lagnat masakit ang lalamunan sakit sa dibdib hirap sa paghinga,"PN, AURI, TB, COVID"
hirap sa paghinga ubo pagtatae ubo,"PN, AURI, TB, COVID"
hirap sa paghinga masakit ang lalamunan sakit sa dibdib ubo,"PN, AURI, TB, COVID"
mataas na lagnat ubo sakit sa dibdib pulmonya,"PN, AURI, TB, COVID"
sakit sa dibdib masakit ang lalamunan pagtatae hirap sa paghinga,"PN, AURI, TB, COVID"
mataas na lagnat sipon sakit sa dibdib hirap sa paghinga,"PN, AURI, TB, COVID"
hirap sa paghinga masakit ang lalamunan sakit sa dibdib pulmonya,"PN, AURI, TB, COVID"
hirap sa paghinga masakit ang lalamunan pagtatae pulmonya,"PN, AURI, TB, COVID"
mataas na lagnat masakit ang lalamunan ubo na may dugo ubo,"PN, AURI, TB, COVID"
sakit sa dibdib ubo pagtatae pulmonya,"PN, AURI, TB, COVID"
mataas na lagnat sipon pagtatae hirap sa paghinga,"PN, AURI, TB, COVID"
sakit sa dibdib ubo sakit sa dibdib ubo,"PN, AURI, TB, COVID"
mataas na lagnat masakit ang lalamunan pagtatae ubo,"PN, AURI, TB, COVID"
sakit sa dibdib masakit ang lalamunan ubo na may dugo hirap sa paghinga,"PN, AURI, TB, COVID"
mataas na lagnat sipon pagtatae pulmonya,"PN, AURI, TB, COVID"
sakit sa dibdib ubo,"PN, COVID"
mataas na lagnat hirap sa paghinga,"PN, COVID"
sakit sa dibdib pulmonya,"PN, COVID"
mataas na lagnat pulmonya,"PN, COVID"
mataas na lagnat pulmonya,"PN, COVID"
hirap sa paghinga ubo,"PN, COVID"
hirap sa paghinga pulmonya,"PN, COVID"
hirap sa paghinga pulmonya,"PN, COVID"
sakit sa dibdib ubo,"PN, COVID"
hirap sa paghinga pulmonya,"PN, COVID"
mataas na lagnat pulmonya,"PN, COVID"
sakit sa dibdib pulmonya,"PN, COVID"
mataas na lagnat ubo,"PN, COVID"
sakit sa dibdib hirap sa paghinga,"PN, COVID"
mataas na lagnat hirap sa paghinga,"PN, COVID"
hirap sa paghinga ubo,"PN, COVID"
hirap sa paghinga hirap sa paghinga,"PN, COVID"
sakit sa dibdib ubo,"PN, COVID"
hirap sa paghinga pulmonya,"PN, COVID"
mataas na lagnat pulmonya,"PN, COVID"
sakit sa dibdib pulmonya,"PN, COVID"
mataas na lagnat ubo,"PN, COVID"
sakit sa dibdib hirap sa paghinga,"PN, COVID"
mataas na lagnat hirap sa paghinga,"PN, COVID"
hirap sa paghinga ubo,"PN, COVID"
hirap sa paghinga hirap sa paghinga,"PN, COVID"
sakit sa dibdib ubo,"PN, COVID"
hirap sa paghinga pulmonya,"PN, COVID"
mataas na lagnat pulmonya,"PN, COVID"
sakit sa dibdib pulmonya,"PN, COVID"
mataas na lagnat ubo,"PN, COVID"
sakit sa dibdib hirap sa paghinga,"PN, COVID"
mataas na lagnat hirap sa paghinga,"PN, COVID"
hirap sa paghinga ubo,"PN, COVID"
hirap sa paghinga hirap sa paghinga,"PN, COVID"
sakit sa dibdib ubo,"PN, COVID"
hirap sa paghinga pulmonya,"PN, COVID"
mataas na lagnat pulmonya,"PN, COVID"
sakit sa dibdib pulmonya,"PN, COVID"
mataas na lagnat ubo,"PN, COVID"
sakit sa dibdib hirap sa paghinga,"PN, COVID"
mataas na lagnat hirap sa paghinga,"PN, COVID"
hirap sa paghinga ubo,"PN, COVID"
hirap sa paghinga hirap sa paghinga,"PN, COVID"
sakit sa dibdib ubo sipon,"PN, COVID, AURI"
mataas na lagnat hirap sa paghinga sipon,"PN, COVID, AURI"
hirap sa paghinga hirap sa paghinga sipon,"PN, COVID, AURI"
hirap sa paghinga pulmonya masakit ang lalamunan,"PN, COVID, AURI"
mataas na lagnat pulmonya masakit ang lalamunan,"PN, COVID, AURI"
mataas na lagnat pulmonya masakit ang lalamunan,"PN, COVID, AURI"
mataas na lagnat ubo sipon,"PN, COVID, AURI"
sakit sa dibdib ubo sipon,"PN, COVID, AURI"
sakit sa dibdib hirap sa paghinga sipon,"PN, COVID, AURI"
mataas na lagnat hirap sa paghinga ubo,"PN, COVID, AURI"
mataas na lagnat hirap sa paghinga sipon,"PN, COVID, AURI"
hirap sa paghinga hirap sa paghinga sipon,"PN, COVID, AURI"
hirap sa paghinga hirap sa paghinga masakit ang lalamunan,"PN, COVID, AURI"
sakit sa dibdib hirap sa paghinga sipon,"PN, COVID, AURI"
sakit sa dibdib ubo sipon,"PN, COVID, AURI"
